PHIBL,"Philosophy Faculty Library"
NEWCL,"New College Library"
MERCL,"Merton College Library"
GRFNU,"Greyfriars Franciscan Library"
LINCL,"Lincoln College Library"
EFLBL,"English Faculty Library"
OUSNU,"Oxford Union Society Library"
LMHCL,"Lady Margaret Hall Library"
CCCCL,"Corpus Christi Coll Library"
MUSBL,"Music Faculty Library"
HFLBL,"History Faculty Library"
BODBL,"Bodleian Library"
KEBCL,"Keble College Library"
COMDL,"Computing Laboratory Library"
ASCCL,"All Souls College Library"
HERCL,"Hertford College Library"
BODSA,"Slavonic Accessions"
WORCL,"Worcester College Library"
BODHA,"Hispanic Accessions"
TRICL,"Trinity College Library"
BLLCL,"Balliol College Library"
CHCCL,"Christ Church - Main Library"
TAYBL,"Taylor Institution Library"
BODOA,"Oriental Accessions"
STFBL,"Bodleian Staff Library"
WOLCL,"Wolfson College Library"
CATCL,"St Catherine's Coll Library"
THEBL,"Theology Faculty Library"
SSLBL,"Social Science Library"
RSLBL,"Radcliffe Science Library"
TASBL,"Taylor Slavonic Library"
SACBL,"Sackler Library"
RUSDL,"Ruskin School Library"
MFONU,"Maison Française Library"
SPCCL,"St Peter's College Library"
HMCCL,"Harris Manchester College Lib"
STBCL,"St Benet's Hall Library"
STJCL,"St John's College Library"
QUECL,"Queen's College Library"
ASHDL,"Ashmolean Museum Library"
SCABL,"Soc and Cultural Anth Library"
PEMCL,"Pembroke College Library"
RHOBL,"Rhodes House Library"
LAWBL,"Bodleian Law Library"
OLIDL,"Oxford Learning Institute Library"
OILBL,"Oriental Institute Library"
DOMDL,"Dept of Materials Library"
LANDL,"Language Centre Library"
ENGDL,"Engineering Science Library"
ICLNU,"Instituto Camoes Library"
MHSDL,"Museum of Hist of Sci Library"
HCLBL,"Health Care - Cairns"
MAGCL,"Magdalen College Library"
EARDL,"Earth Sciences Library"
BALDL,"Balfour Lib (Pitt Rivers Mus)"
BNCCL,"Brasenose College Library"
WELBL,"Wellcome Unit Library"
ZOOBL,"Zoology Library"
SBSBL,"Said Business School Library"
ORLCL,"Oriel College Library"
SOMCL,"Somerville College Library"
PLSBL,"Plant Sciences Library"
STADL,"Statistics Library"
NUFCL,"Nuffield College Library"
CMSNU,"Mission Studies Library"
EXECL,"Exeter College Library"
CEDBL,"Continuing Education Library"
OUMDL,"Museum of Nat Hist Library"
BJLBL,"Bodleian Japanese Library"
BODEA,"English Accessions"
BLFCL,"Blackfriars Library"
SEHCL,"St Edmund Hall Library"
REGCL,"Regent's Park College Library"
EDUBL,"Education Library"
WADCL,"Wadham College Library"
LACBL,"Latin American Centre Library"
ANTCL,"St Antony's College Library"
HUGCL,"St Hugh's College Library"
MATDL,"Mathematical Inst Library"
VHLBL,"Vere Harmsworth Library"
HINNU,"Hindu Studies Library"
STXCL,"St Cross College Library"
OIIDL,"Oxford Internet Inst Library"
HCLKC,"Health Care - Knowledge Cent"
CSLBL,"Chinese Studies Library"
MECDL,"Middle East Centre Library"
HSCDL,"Human Sciences Library"
ANTRE,"Russian & East Eur. Library"
JESCL,"Jesus College Library"
RSLCD,"Radcliffe Sci. Lib. Main Desk"
MAGCH,"Magdalen Coll Chantry Library"
LCRCL,"Linacre College Library"
HEBNU,"Hebrew and Jewish Studies Lib"
ANNCL,"St Anne's College Library"
TAYCD,"Taylor Inst. Library Main Desk"
COSNU,"Oxfordshire History Centre"
ARABL,"Accessible Resources Unit"
INDBL,"Indian Institute Library"
SYSBL,"Systems Team Library"
ISLNU,"Islamic Studies Library"
BODCA,"Copyright Receipt Office"
BODFA,"Acquisitions Services"
CARDL,"Careers Service Res Centre"
BODXA,"Music Accessions"
HCLCD,"Health Care - Cairns Main Desk"
GOOGL,"Google Resources"
